,MatchID,HomeTeamID,AwayTeamID
50,2019332,50157,50136
55,2019337,50062,50037
53,2019335,52919,50080
52,2019334,52757,50050
54,2019336,50124,64500
49,2019331,59856,52747
48,2019330,2603104,52280
51,2019333,50147,52723
62,2019344,52714,50164
56,2019338,50023,54266
57,2019339,1652,50109
58,2019340,52758,50149
59,2019341,50146,50051
60,2019342,52709,53577
61,2019343,50064,50043
63,2019345,50139,5312
64,2019346,54266,50109
65,2019347,50023,1652
66,2019348,50149,50051
67,2019349,52758,50146
68,2019350,53577,50043
69,2019351,52709,50064
70,2019352,50164,5312
71,2019353,52714,50139
78,2019360,64500,50037
75,2019357,50157,50147
79,2019361,50124,50062
77,2019359,52757,52919
74,2019356,50136,52723
73,2019355,2603104,59856
72,2019354,52280,52747
76,2019358,50050,50080
85,2019367,52919,50050
87,2019369,50062,64500
86,2019368,50037,50124
84,2019366,50080,52757
83,2019365,50147,50136
82,2019364,52723,50157
81,2019363,59856,52280
80,2019362,52747,2603104
88,2019370,50109,50023
89,2019371,1652,54266
90,2019372,50051,52758
91,2019373,50146,50149
92,2019374,50043,52709
93,2019375,50064,53577
94,2019376,5312,52714
95,2019377,50139,50164
100,2019617,50147,52758
98,2019615,52747,50080
101,2019618,50037,52280
97,2019614,50051,50136
96,2019613,52919,50023
103,2019620,50109,50124
102,2019619,50064,50139
99,2019616,52714,53577
111,2019628,52280,50037
107,2019624,50136,50051
104,2019621,50080,52747
110,2019627,52758,50147
108,2019625,50139,50064
105,2019622,53577,52714
106,2019623,50023,52919
109,2019626,50124,50109
115,2019632,50139,50080
113,2019630,52758,50023
112,2019629,50124,53577
114,2019631,50037,50051
116,2019633,50051,50037
118,2019635,53577,50124
119,2019636,50023,52758
117,2019634,50080,50139
121,2019638,50051,50124
120,2019637,50023,50139
123,2019640,50139,50023
122,2019639,50124,50051
124,2019641,50139,50051
173,2021635,59856,54266
174,2021636,52682,50147
175,2021637,52747,50074
176,2021638,50050,50037
177,2021639,50124,60609
178,2021640,50137,52914
179,2021641,50149,50139
180,2021642,2610,50080
185,2021647,50157,50023
187,2021649,52758,50118
186,2021648,50064,2603790
188,2021650,1652,50051
183,2021645,50136,52919
182,2021644,7889,57490
181,2021643,52714,50068
184,2021646,52707,52749
189,2021651,50068,57490
194,2021656,50157,50064
195,2021657,50118,50051
193,2021655,50023,2603790
196,2021658,52758,1652
191,2021653,52919,52749
190,2021652,52714,7889
192,2021654,50136,52707
197,2021659,54266,50147
201,2021663,60609,52914
198,2021660,59856,52682
199,2021661,50074,50037
200,2021662,52747,50050
202,2021664,50124,50137
203,2021665,50139,50080
204,2021666,50149,2610
210,2021672,50137,60609
212,2021674,2610,50139
209,2021671,52914,50124
211,2021673,50080,50149
207,2021669,50037,52747
205,2021667,50147,59856
208,2021670,50050,50074
206,2021668,52682,54266
219,2021681,50051,52758
218,2021680,50064,50023
217,2021679,2603790,50157
220,2021682,1652,50118
215,2021677,52749,50136
214,2021676,7889,50068
213,2021675,57490,52714
216,2021678,52707,52919
222,2021684,59856,52919
221,2021683,50139,1652
225,2021687,50064,7889
227,2021689,50051,52747
223,2021685,52914,50080
224,2021686,50037,50157
226,2021688,52714,52682
228,2021690,52707,50137
235,2021697,7889,50064
233,2021695,52747,50051
232,2021694,52919,59856
231,2021693,1652,50139
234,2021696,50137,52707
236,2021698,52682,52714
230,2021692,50157,50037
229,2021691,50080,52914
238,2021700,52714,50037
239,2021701,50139,50051
237,2021699,50080,50137
240,2021702,7889,52919
242,2021704,52919,7889
243,2021705,50137,50080
244,2021706,50037,52714
241,2021703,50051,50139
245,2021707,7889,50137
246,2021708,50037,50051
247,2021709,50051,50037
248,2021710,50137,7889
249,2021711,50051,7889
299,2025102,50023,50043
303,2025106,50069,7889
305,2025108,57388,50067
304,2025107,50064,53065
300,2025103,1652,50062
301,2025104,50138,50080
298,2025101,50124,52758
302,2025105,50136,52747
310,2025113,54266,50137
313,2025116,52268,50031
306,2025109,50037,50129
307,2025110,50147,50143
308,2025111,5312,2600431
309,2025112,52919,52707
311,2025114,64388,50051
312,2025115,50139,52682
319,2025122,54266,64388
314,2025117,50129,50143
316,2025119,2600431,52707
317,2025120,5312,52919
318,2025121,50137,50051
320,2025123,52682,50031
321,2025124,50139,52268
315,2025118,50037,50147
328,2025131,53065,50067
323,2025126,50124,50023
329,2025132,50064,57388
327,2025130,50136,50069
324,2025127,50062,50080
325,2025128,1652,50138
322,2025125,52758,50043
326,2025129,52747,7889
337,2025140,57388,53065
336,2025139,50067,50064
332,2025135,50080,1652
333,2025136,50138,50062
334,2025137,7889,50136
335,2025138,50069,52747
330,2025133,50043,50124
331,2025134,50023,52758
342,2025145,50051,54266
343,2025146,64388,50137
344,2025147,50031,50139
338,2025141,50143,50037
339,2025142,50147,50129
340,2025143,52707,5312
341,2025144,52919,2600431
345,2025148,52268,52682
